unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758418289614, R, 2, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758418289663, 4, 14, 491, 150, 372, 285, 2, 7
1758418289663, 5, 17, 491, 149, 363, 291, 1, 5
1758418289663, 6, 5, 494, 155, 363, 292, 2, 5
1758418289663, 5, 3, 488, 148, 370, 290, 1, 3
1758418289663, 3, 4, 491, 151, 368, 291, 4, 3
1758418289663, 6, 4, 489, 150, 367, 289, 3, 4
1758418289663, 5, 5, 488, 151, 371, 288, 9, 3
1758418289663, 8, 19, 488, 151, 363, 288, 2, 5
1758418289663, 6, 10, 485, 149, 363, 287, 2, 3
1758418289663, 7, 20, 489, 151, 365, 297, 2, 7
1758418289663, 5, 22, 483, 150, 368, 287, 1, 2
1758418289663, 4, 20, 484, 155, 369, 288, 0, 2
1758418289663, 8, 16, 486, 149, 366, 292, 0, 3
1758418289663, 2, 10, 489, 148, 371, 286, 3, 2
1758418289663, 8, 7, 483, 150, 368, 290, 3, 1
1758418289663, 1, 0, 485, 149, 367, 287, 4, 2
1758418289663, 2, 0, 488, 151, 375, 298, 1, 4
1758418289663, 0, 6, 483, 149, 367, 287, 0, 3
1758418289663, 1, 0, 493, 148, 377, 291, 1, 2
1758418289663, 6, 0, 486, 150, 366, 289, 0, 2
1758418289663, 0, 4, 481, 148, 365, 290, 1, 2
1758418289663, 1, 3, 484, 148, 367, 286, 10, 6
1758418289663, 0, 3, 480, 149, 370, 288, 4, 3
1758418289663, 9, 14, 479, 157, 367, 292, 2, 3
1758418289663, 0, 6, 483, 147, 371, 291, 2, 1
1758418289663, 1, 5, 481, 153, 365, 296, 2, 4
1758418289663, 2, 20, 488, 150, 368, 287, 1, 3
1758418289663, 13, 8, 486, 148, 371, 289, 2, 3
1758418289663, 5, 9, 483, 157, 366, 288, 2, 2
1758418289663, 2, 19, 486, 147, 368, 295, 0, 8
1758418289663, 3, 20, 479, 150, 365, 292, 2, 1
1758418289663, 3, 20, 492, 154, 365, 293, 2, 2
1758418289663, 3, 30, 481, 151, 367, 295, 2, 1
1758418289663, 4, 13, 486, 148, 367, 289, 2, 2
1758418289663, 7, 8, 481, 148, 366, 294, 2, 10
1758418289663, 7, 0, 483, 148, 373, 293, 2, 2
1758418289663, 1, 0, 483, 146, 367, 289, 0, 10
1758418289663, 0, 0, 481, 147, 366, 287, 1, 2
1758418289663, 14, 0, 477, 148, 367, 288, 1, 3
1758418289663, 3, 0, 479, 149, 367, 290, 6, 11
1758418289663, 3, 0, 483, 149, 368, 290, 3, 2
1758418289663, 5, 3, 480, 148, 367, 290, 0, 0
1758418289663, 3, 2, 483, 148, 368, 291, 0, 5
1758418289663, 12, 4, 482, 148, 379, 288, 0, 5
