unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758418301617, R, 3, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758418301763, 10, 7, 460, 174, 398, 381, 2, 3
1758418301763, 5, 10, 462, 178, 397, 379, 2, 4
1758418301763, 4, 16, 459, 177, 397, 384, 0, 3
1758418301763, 7, 0, 461, 176, 403, 383, 1, 2
1758418301763, 4, 0, 465, 176, 399, 376, 2, 2
1758418301763, 6, 2, 458, 177, 399, 379, 2, 3
1758418301763, 9, 3, 464, 176, 397, 379, 1, 3
1758418301763, 0, 19, 462, 174, 398, 382, 2, 4
1758418301763, 4, 6, 467, 176, 398, 378, 3, 2
1758418301763, 3, 16, 462, 186, 396, 379, 2, 2
1758418301763, 4, 7, 460, 178, 399, 374, 3, 2
1758418301763, 7, 5, 462, 176, 399, 373, 3, 3
1758418301763, 3, 21, 459, 176, 403, 373, 1, 2
1758418301763, 7, 32, 463, 177, 399, 383, 2, 3
1758418301763, 5, 22, 461, 175, 396, 377, 1, 3
1758418301763, 5, 22, 457, 179, 397, 374, 7, 5
1758418301763, 9, 17, 463, 177, 401, 375, 2, 3
1758418301763, 0, 25, 457, 175, 393, 375, 2, 2
1758418301763, 1, 10, 457, 175, 395, 366, 0, 2
1758418301763, 3, 14, 462, 174, 395, 376, 2, 2
1758418301763, 3, 4, 458, 177, 403, 371, 1, 1
1758418301763, 6, 0, 453, 177, 400, 372, 1, 3
1758418301763, 3, 0, 451, 175, 397, 375, 2, 3
1758418301763, 3, 0, 459, 177, 404, 369, 2, 1
1758418301763, 3, 0, 455, 177, 395, 379, 2, 2
1758418301763, 3, 1, 460, 176, 395, 374, 4, 4
1758418301763, 1, 2, 463, 175, 396, 383, 1, 2
1758418301763, 0, 20, 450, 174, 395, 371, 2, 3
1758418301763, 0, 18, 455, 174, 399, 369, 0, 0
1758418301763, 0, 8, 452, 175, 393, 371, 8, 5
1758418301763, 8, 6, 454, 176, 396, 374, 2, 2
1758418301763, 9, 6, 451, 175, 395, 370, 4, 5
1758418301763, 3, 7, 456, 176, 399, 373, 3, 2
1758418301763, 4, 32, 456, 173, 407, 381, 1, 6
1758418301763, 3, 22, 456, 175, 399, 372, 0, 2
1758418301763, 6, 21, 453, 176, 399, 370, 0, 5
1758418301763, 11, 16, 456, 176, 409, 368, 2, 3
1758418301763, 9, 11, 456, 176, 399, 373, 3, 4
1758418301763, 1, 19, 453, 175, 406, 375, 1, 7
1758418301763, 8, 17, 451, 174, 406, 372, 1, 11
1758418301763, 6, 0, 463, 178, 397, 377, 3, 1
1758418301763, 7, 0, 453, 178, 397, 379, 1, 2
1758418301763, 3, 0, 451, 176, 399, 372, 1, 3
1758418301763, 0, 0, 459, 176, 395, 374, 0, 4
1758418301763, 3, 0, 453, 177, 399, 374, 0, 5
1758418301763, 2, 2, 451, 177, 402, 371, 4, 3
1758418301763, 4, 3, 466, 174, 398, 373, 10, 2
1758418301763, 3, 4, 459, 176, 395, 375, 2, 2
1758418301763, 8, 4, 453, 175, 395, 374, 2, 3
1758418301763, 0, 5, 453, 176, 393, 373, 3, 2
1758418301763, 4, 20, 456, 174, 399, 371, 2, 3
1758418301763, 0, 23, 457, 176, 395, 366, 1, 3
1758418301763, 3, 10, 467, 176, 398, 372, 2, 3
1758418301763, 3, 17, 454, 174, 403, 368, 2, 3
1758418301763, 3, 20, 453, 174, 396, 373, 3, 3
1758418301763, 7, 33, 457, 175, 399, 370, 1, 3
1758418301763, 3, 18, 455, 176, 396, 364, 0, 11
1758418301763, 3, 11, 456, 174, 399, 365, 3, 4
1758418301763, 0, 22, 458, 176, 400, 369, 1, 0
1758418301763, 10, 2, 459, 175, 396, 371, 3, 3
1758418301763, 0, 0, 456, 176, 396, 368, 2, 3
1758418301763, 5, 0, 455, 175, 402, 368, 2, 11
1758418301763, 4, 0, 453, 177, 395, 368, 1, 11
1758418301763, 2, 0, 457, 176, 399, 373, 9, 3
1758418301763, 4, 13, 453, 176, 394, 368, 2, 2
1758418301763, 4, 5, 458, 176, 399, 368, 4, 9
1758418301763, 0, 3, 459, 175, 395, 368, 3, 0
1758418301763, 0, 4, 460, 179, 395, 370, 2, 3
1758418301763, 1, 5, 459, 177, 400, 371, 0, 3
1758418301763, 4, 4, 459, 174, 407, 368, 2, 3
1758418301763, 12, 5, 457, 176, 396, 370, 1, 3
1758418301763, 9, 18, 456, 174, 398, 368, 11, 2
1758418301763, 2, 24, 459, 175, 399, 368, 2, 3
1758418301763, 1, 20, 455, 176, 396, 376, 2, 1
1758418301763, 5, 22, 455, 175, 397, 381, 2, 2
1758418301763, 0, 36, 461, 175, 398, 373, 0, 3
1758418301763, 2, 18, 457, 179, 397, 372, 11, 12
1758418301763, 5, 12, 457, 175, 395, 369, 2, 3
1758418301763, 3, 7, 455, 178, 393, 371, 3, 2
1758418301763, 4, 3, 457, 176, 399, 365, 1, 4
1758418301763, 0, 0, 459, 174, 399, 365, 6, 3
1758418301763, 8, 0, 456, 175, 395, 371, 0, 2
1758418301763, 3, 0, 456, 177, 395, 370, 4, 2
1758418301763, 3, 0, 458, 177, 399, 369, 1, 3
1758418301763, 5, 0, 463, 176, 395, 372, 0, 10
1758418301763, 4, 4, 463, 174, 401, 369, 1, 1
1758418301763, 6, 15, 456, 176, 406, 383, 4, 1
1758418301763, 0, 5, 460, 176, 398, 369, 0, 2
1758418301763, 0, 5, 454, 177, 397, 375, 1, 5
1758418301763, 4, 4, 462, 173, 404, 382, 4, 3
1758418301763, 6, 5, 467, 175, 395, 377, 1, 3
1758418301763, 7, 6, 456, 181, 400, 377, 1, 2
1758418301763, 1, 8, 459, 176, 401, 373, 0, 2
1758418301763, 0, 18, 458, 178, 399, 371, 2, 3
1758418301763, 3, 35, 456, 177, 398, 377, 2, 3
1758418301763, 3, 22, 463, 176, 397, 375, 2, 2
1758418301763, 0, 32, 459, 173, 399, 373, 0, 3
1758418301763, 0, 13, 463, 174, 395, 375, 6, 2
1758418301763, 9, 8, 459, 180, 402, 371, 1, 1
1758418301763, 7, 0, 455, 178, 396, 374, 0, 3
1758418301763, 5, 0, 453, 177, 402, 371, 3, 11
1758418301763, 5, 0, 457, 177, 403, 372, 1, 3
