unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758418349639, R, -2, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758418349780, 9, 6, 400, 152, 383, 377, 8, 3
1758418349780, 5, 7, 397, 150, 382, 381, 2, 4
1758418349780, 4, 15, 396, 147, 389, 384, 1, 3
1758418349780, 2, 33, 394, 149, 387, 379, 2, 2
1758418349780, 9, 36, 395, 151, 384, 377, 4, 2
1758418349780, 2, 31, 396, 160, 385, 376, 1, 1
1758418349780, 9, 14, 396, 149, 385, 389, 8, 2
1758418349780, 8, 8, 398, 151, 387, 377, 2, 3
1758418349780, 15, 0, 398, 150, 387, 387, 1, 1
1758418349780, 1, 10, 392, 160, 387, 381, 0, 1
1758418349780, 5, 0, 397, 149, 389, 384, 2, 2
1758418349780, 9, 0, 406, 151, 385, 378, 2, 2
1758418349780, 1, 0, 397, 150, 381, 379, 0, 5
1758418349780, 4, 0, 400, 151, 384, 376, 3, 3
1758418349780, 8, 15, 400, 153, 385, 376, 3, 3
1758418349780, 3, 21, 392, 150, 385, 378, 3, 4
1758418349780, 4, 8, 403, 150, 382, 384, 1, 4
1758418349780, 4, 3, 405, 150, 383, 385, 2, 4
1758418349780, 7, 3, 391, 151, 385, 383, 0, 4
1758418349780, 1, 6, 395, 151, 383, 384, 2, 2
1758418349780, 6, 5, 399, 150, 384, 380, 2, 3
1758418349780, 4, 8, 392, 151, 388, 380, 2, 2
1758418349780, 3, 15, 398, 151, 391, 390, 3, 3
1758418349780, 3, 19, 399, 148, 388, 386, 0, 2
1758418349780, 10, 18, 396, 148, 390, 391, 2, 2
1758418349780, 4, 15, 398, 156, 384, 385, 0, 5
1758418349780, 7, 10, 391, 148, 386, 379, 0, 5
1758418349780, 8, 23, 398, 149, 383, 379, 4, 3
1758418349780, 4, 2, 398, 148, 388, 387, 1, 3
1758418349780, 0, 2, 396, 149, 387, 379, 2, 1
1758418349780, 0, 0, 393, 152, 398, 384, 1, 2
1758418349780, 7, 0, 398, 148, 387, 379, 2, 2
1758418349780, 3, 6, 393, 151, 389, 381, 1, 4
1758418349780, 2, 1, 395, 149, 390, 382, 2, 10
1758418349780, 6, 5, 393, 151, 396, 383, 2, 4
1758418349780, 8, 3, 392, 150, 386, 379, 1, 4
1758418349780, 3, 4, 396, 150, 387, 381, 0, 3
1758418349780, 7, 3, 396, 155, 383, 384, 5, 3
1758418349780, 1, 4, 399, 149, 387, 386, 0, 3
