unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758418953750, S, -2, 1, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758418953837, 3, 18, 367, 95, 378, 209, 0, 2
1758418953837, 5, 23, 371, 94, 381, 210, 0, 3
1758418953837, 4, 8, 371, 100, 374, 209, 0, 4
1758418953837, 5, 6, 368, 95, 380, 211, 4, 1
1758418953837, 0, 6, 367, 97, 378, 210, 1, 3
1758418953837, 7, 6, 371, 98, 383, 209, 2, 3
1758418953837, 13, 6, 371, 97, 376, 210, 1, 3
1758418953837, 3, 5, 371, 95, 378, 209, 2, 2
1758418953837, 3, 6, 371, 96, 376, 212, 4, 1
1758418953837, 3, 27, 371, 101, 381, 211, 2, 3
1758418953837, 1, 18, 368, 106, 381, 208, 1, 5
1758418953837, 5, 15, 370, 95, 379, 208, 1, 2
1758418953837, 8, 12, 374, 96, 376, 213, 1, 3
1758418953837, 2, 7, 368, 95, 376, 208, 2, 7
1758418953837, 4, 9, 370, 96, 375, 206, 3, 2
1758418953837, 4, 2, 373, 96, 387, 208, 4, 3
1758418953837, 9, 4, 369, 94, 384, 212, 1, 2
1758418953837, 4, 0, 368, 96, 378, 209, 3, 2
1758418953837, 0, 1, 368, 96, 372, 208, 3, 2
1758418953837, 7, 9, 371, 96, 376, 213, 3, 3
1758418953837, 2, 4, 369, 102, 376, 209, 1, 7
1758418953837, 3, 5, 368, 96, 379, 209, 1, 3
1758418953837, 6, 6, 373, 96, 376, 211, 5, 3
1758418953837, 5, 6, 367, 97, 375, 210, 1, 2
1758418953837, 3, 20, 365, 95, 376, 211, 0, 6
1758418953837, 3, 22, 365, 99, 376, 209, 0, 3
1758418953837, 6, 20, 367, 95, 379, 210, 2, 4
1758418953837, 15, 23, 364, 96, 376, 208, 3, 4
1758418953837, 2, 9, 367, 96, 378, 210, 2, 2
1758418953837, 4, 13, 371, 96, 373, 215, 1, 3
1758418953837, 4, 15, 362, 98, 376, 210, 3, 2
1758418953837, 1, 15, 367, 96, 376, 213, 1, 3
1758418953837, 7, 12, 367, 103, 378, 209, 0, 1
1758418953837, 3, 8, 365, 95, 385, 213, 2, 0
1758418953837, 2, 5, 371, 96, 376, 210, 1, 2
1758418953837, 0, 17, 363, 100, 378, 211, 3, 4
1758418953837, 4, 0, 362, 97, 375, 217, 6, 3
1758418953837, 10, 0, 363, 96, 376, 213, 3, 2
1758418953837, 4, 1, 362, 97, 376, 215, 0, 3
1758418953837, 4, 0, 363, 98, 376, 219, 2, 3
1758418953837, 8, 3, 363, 98, 375, 211, 2, 2
1758418953837, 3, 6, 367, 97, 379, 215, 2, 2
1758418953837, 11, 5, 363, 96, 378, 215, 3, 3
1758418953837, 2, 5, 367, 98, 378, 211, 2, 0
1758418953837, 3, 20, 363, 99, 376, 213, 0, 3
1758418953837, 8, 23, 368, 96, 378, 214, 1, 11
1758418953837, 2, 8, 368, 97, 378, 213, 0, 3
1758418953837, 8, 21, 367, 97, 379, 214, 1, 2
1758418953837, 3, 24, 364, 98, 381, 220, 3, 2
1758418953837, 3, 29, 376, 97, 378, 213, 0, 2
1758418953837, 3, 17, 363, 99, 379, 213, 0, 6
1758418953837, 3, 14, 367, 98, 376, 208, 2, 4
1758418953837, 0, 11, 364, 97, 376, 208, 7, 10
1758418953837, 11, 7, 367, 109, 376, 215, 0, 3
1758418953837, 3, 6, 365, 99, 378, 208, 1, 2
1758418953837, 4, 0, 369, 98, 376, 208, 3, 3
1758418953837, 3, 0, 368, 96, 379, 212, 1, 3
1758418953837, 4, 0, 366, 96, 376, 212, 1, 3
1758418953837, 4, 2, 368, 98, 376, 212, 2, 2
1758418953837, 0, 0, 369, 99, 373, 211, 2, 3
1758418953837, 4, 4, 369, 104, 374, 213, 3, 3
1758418953837, 3, 5, 368, 99, 376, 210, 4, 3
1758418953837, 0, 6, 367, 98, 373, 213, 4, 3
1758418953837, 3, 5, 369, 97, 379, 222, 3, 1
1758418953837, 2, 4, 367, 98, 376, 215, 0, 2
1758418953837, 4, 20, 368, 99, 374, 212, 0, 6
1758418953837, 2, 22, 366, 96, 375, 211, 0, 9
1758418953837, 5, 23, 366, 98, 373, 211, 2, 3
1758418953837, 3, 24, 365, 99, 376, 210, 3, 2
1758418953837, 1, 15, 374, 97, 376, 211, 4, 2
1758418953837, 3, 16, 363, 98, 376, 210, 2, 1
1758418953837, 6, 14, 368, 98, 377, 210, 1, 4
1758418953837, 5, 11, 374, 98, 373, 219, 0, 2
1758418953837, 2, 7, 365, 99, 375, 213, 3, 3
1758418953837, 5, 5, 368, 99, 377, 209, 1, 5
1758418953837, 3, 14, 367, 97, 375, 210, 7, 2
1758418953837, 3, 1, 365, 105, 378, 215, 0, 3
1758418953837, 5, 0, 366, 97, 378, 211, 0, 2
