unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419179980, S, -1, 2, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419180040, 3, 8, 349, 121, 395, 243, 2, 3
1758419180040, 5, 8, 345, 124, 397, 252, 1, 3
1758419180040, 0, 7, 347, 131, 399, 247, 1, 4
1758419180040, 4, 6, 349, 132, 402, 242, 11, 4
1758419180040, 3, 6, 347, 128, 399, 243, 2, 4
1758419180040, 6, 4, 345, 122, 399, 243, 4, 3
1758419180040, 2, 10, 347, 122, 399, 239, 1, 3
1758419180040, 6, 4, 348, 122, 397, 240, 1, 2
1758419180040, 4, 5, 349, 124, 401, 241, 1, 3
1758419180040, 7, 2, 343, 123, 397, 242, 2, 3
1758419180040, 9, 5, 345, 122, 398, 242, 1, 2
1758419180040, 6, 5, 346, 123, 396, 240, 4, 3
1758419180040, 3, 5, 347, 123, 397, 237, 2, 4
1758419180040, 5, 5, 354, 124, 397, 238, 2, 2
1758419180040, 5, 6, 347, 123, 397, 237, 2, 1
1758419180040, 1, 19, 343, 123, 395, 236, 3, 2
1758419180040, 5, 23, 343, 123, 399, 236, 0, 2
1758419180040, 4, 8, 344, 129, 399, 236, 1, 2
1758419180040, 6, 6, 346, 122, 396, 238, 1, 3
1758419180040, 3, 7, 349, 124, 394, 237, 2, 7
1758419180040, 2, 8, 348, 122, 401, 236, 2, 9
1758419180040, 3, 7, 346, 122, 403, 237, 2, 7
1758419180040, 1, 7, 347, 123, 403, 233, 5, 3
1758419180040, 4, 7, 343, 125, 399, 240, 5, 2
1758419180040, 5, 6, 344, 122, 397, 237, 2, 3
1758419180040, 3, 4, 352, 122, 403, 234, 0, 2
1758419180040, 3, 4, 345, 128, 397, 234, 2, 5
1758419180040, 5, 4, 345, 122, 398, 234, 3, 3
1758419180040, 3, 3, 348, 123, 397, 233, 10, 3
1758419180040, 3, 3, 347, 123, 401, 233, 3, 3
1758419180040, 1, 5, 344, 122, 400, 233, 1, 3
1758419180040, 7, 5, 346, 125, 395, 232, 2, 7
1758419180040, 3, 5, 349, 124, 407, 230, 2, 3
1758419180040, 2, 20, 342, 122, 400, 231, 2, 2
1758419180040, 5, 11, 346, 122, 399, 230, 2, 3
1758419180040, 3, 6, 345, 124, 401, 230, 4, 2
1758419180040, 5, 6, 345, 124, 401, 232, 1, 2
1758419180040, 5, 21, 345, 123, 400, 232, 1, 3
1758419180040, 3, 20, 348, 124, 402, 232, 2, 2
1758419180040, 5, 10, 345, 121, 403, 231, 3, 3
1758419180040, 4, 8, 347, 123, 397, 232, 2, 3
1758419180040, 7, 9, 345, 123, 403, 231, 1, 4
1758419180040, 7, 7, 351, 123, 397, 230, 4, 4
1758419180040, 13, 7, 345, 124, 397, 234, 2, 2
1758419180040, 0, 6, 349, 124, 397, 230, 1, 2
1758419180040, 4, 12, 348, 121, 398, 235, 2, 3
1758419180040, 6, 4, 350, 126, 399, 234, 2, 2
1758419180040, 3, 3, 342, 123, 401, 232, 2, 3
1758419180040, 2, 4, 343, 124, 398, 234, 1, 6
1758419180040, 4, 3, 347, 123, 402, 233, 1, 3
1758419180040, 4, 20, 346, 124, 397, 233, 2, 3
1758419180040, 5, 8, 346, 129, 406, 232, 2, 3
1758419180040, 2, 6, 348, 124, 405, 228, 2, 4
1758419180040, 6, 5, 346, 121, 403, 234, 2, 2
1758419180040, 6, 12, 344, 124, 400, 234, 2, 3
1758419180040, 6, 19, 355, 120, 402, 235, 1, 3
1758419180040, 4, 7, 348, 123, 397, 232, 2, 3
1758419180040, 2, 6, 348, 125, 403, 232, 2, 3
1758419180040, 1, 7, 346, 122, 403, 232, 1, 2
1758419180040, 3, 8, 345, 123, 402, 235, 2, 7
1758419180040, 4, 8, 343, 123, 400, 232, 2, 3
1758419180040, 3, 19, 345, 124, 403, 234, 2, 1
1758419180040, 3, 8, 346, 124, 403, 232, 2, 3
1758419180040, 1, 7, 350, 124, 402, 235, 2, 2
1758419180040, 3, 5, 346, 133, 404, 232, 2, 3
1758419180040, 2, 5, 345, 124, 400, 233, 2, 2
1758419180040, 3, 3, 348, 122, 403, 233, 1, 2
1758419180040, 2, 3, 348, 124, 410, 234, 2, 3
1758419180040, 3, 3, 344, 131, 398, 236, 2, 12
1758419180040, 2, 3, 345, 125, 399, 244, 2, 3
1758419180040, 5, 20, 346, 123, 397, 233, 2, 3
1758419180040, 6, 8, 343, 124, 403, 235, 2, 3
1758419180040, 1, 13, 345, 135, 403, 236, 3, 3
1758419180040, 5, 6, 343, 123, 400, 234, 3, 5
1758419180040, 13, 6, 343, 123, 402, 232, 1, 2
1758419180040, 1, 6, 347, 125, 399, 243, 3, 3
1758419180040, 4, 6, 345, 123, 400, 236, 1, 3
1758419180040, 0, 6, 347, 123, 403, 233, 2, 2
1758419180040, 11, 6, 353, 124, 402, 236, 2, 2
1758419180040, 5, 7, 349, 124, 409, 236, 1, 3
1758419180040, 4, 8, 349, 126, 403, 236, 1, 2
1758419180040, 0, 8, 347, 123, 400, 237, 2, 7
1758419180040, 6, 7, 347, 123, 399, 235, 3, 3
1758419180040, 5, 6, 343, 123, 405, 233, 1, 2
1758419180040, 4, 6, 344, 123, 402, 236, 2, 2
1758419180040, 5, 13, 345, 124, 400, 233, 1, 2
1758419180040, 3, 20, 344, 124, 402, 233, 2, 3
1758419180040, 4, 6, 346, 124, 400, 235, 1, 10
1758419180040, 3, 5, 349, 123, 402, 236, 2, 2
1758419180040, 3, 3, 356, 124, 403, 231, 1, 3
1758419180040, 7, 19, 348, 123, 403, 232, 1, 1
1758419180040, 2, 7, 344, 124, 403, 235, 2, 4
1758419180040, 3, 5, 349, 123, 399, 236, 1, 3
1758419180040, 1, 6, 348, 122, 407, 233, 7, 2
1758419180040, 4, 21, 345, 124, 401, 234, 2, 2
1758419180040, 4, 8, 347, 124, 400, 239, 2, 3
