unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419264014, S, 5, 2, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419264207, 4, 20, 591, 104, 387, 233, 2, 2
1758419264207, 6, 7, 591, 102, 387, 237, 2, 2
1758419264207, 5, 20, 590, 102, 391, 235, 2, 2
1758419264207, 4, 14, 591, 104, 391, 233, 11, 3
1758419264207, 10, 27, 585, 105, 390, 234, 2, 3
1758419264207, 4, 14, 591, 104, 397, 233, 2, 3
1758419264207, 2, 10, 587, 106, 388, 236, 3, 4
1758419264207, 3, 21, 585, 110, 391, 241, 7, 2
1758419264207, 5, 7, 587, 103, 388, 235, 2, 3
1758419264207, 10, 1, 591, 103, 387, 240, 2, 2
1758419264207, 3, 0, 593, 103, 387, 236, 1, 4
1758419264207, 5, 1, 591, 102, 395, 246, 0, 1
1758419264207, 4, 0, 588, 101, 389, 243, 2, 3
1758419264207, 2, 12, 590, 103, 395, 233, 2, 2
1758419264207, 3, 5, 590, 104, 395, 238, 2, 3
1758419264207, 1, 4, 592, 102, 391, 241, 3, 5
1758419264207, 0, 6, 588, 111, 391, 238, 4, 4
1758419264207, 4, 4, 591, 102, 386, 236, 4, 2
1758419264207, 3, 5, 587, 103, 390, 234, 0, 4
1758419264207, 5, 4, 591, 104, 391, 237, 0, 2
1758419264207, 3, 6, 583, 102, 387, 234, 1, 1
1758419264207, 13, 5, 590, 102, 395, 233, 6, 2
1758419264207, 4, 8, 585, 107, 391, 236, 3, 3
1758419264207, 0, 13, 591, 102, 388, 237, 8, 3
1758419264207, 5, 15, 585, 105, 392, 234, 2, 3
1758419264207, 6, 12, 595, 102, 387, 234, 1, 3
1758419264207, 6, 9, 589, 103, 388, 236, 1, 2
1758419264207, 13, 23, 587, 104, 389, 235, 2, 1
1758419264207, 3, 7, 595, 106, 387, 235, 1, 11
1758419264207, 6, 1, 591, 102, 399, 236, 1, 2
1758419264207, 0, 0, 587, 112, 390, 233, 3, 4
1758419264207, 2, 0, 587, 105, 387, 234, 1, 2
1758419264207, 3, 0, 587, 104, 390, 236, 0, 3
1758419264207, 2, 0, 593, 103, 391, 234, 1, 4
1758419264207, 1, 4, 595, 104, 391, 237, 3, 4
1758419264207, 2, 4, 591, 101, 391, 236, 2, 4
1758419264207, 2, 4, 590, 104, 390, 232, 5, 2
1758419264207, 5, 5, 595, 104, 390, 235, 3, 4
1758419264207, 4, 5, 587, 106, 386, 235, 4, 4
1758419264207, 5, 6, 587, 104, 392, 237, 0, 7
1758419264207, 6, 4, 591, 103, 389, 233, 2, 3
1758419264207, 4, 6, 588, 105, 391, 234, 1, 3
