unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419420219, S, 1, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419420375, 5, 6, 596, 96, 411, 246, 0, 4
1758419420375, 3, 16, 593, 97, 415, 248, 2, 2
1758419420375, 5, 7, 597, 96, 409, 251, 4, 3
1758419420375, 4, 6, 597, 98, 411, 252, 0, 1
1758419420375, 4, 7, 596, 96, 415, 251, 2, 3
1758419420375, 3, 6, 599, 97, 421, 248, 2, 3
1758419420375, 4, 6, 591, 96, 415, 248, 2, 2
1758419420375, 3, 8, 599, 98, 418, 249, 2, 4
1758419420375, 4, 12, 599, 95, 415, 248, 4, 4
1758419420375, 3, 27, 599, 99, 415, 248, 1, 3
1758419420375, 3, 15, 593, 99, 415, 247, 4, 3
1758419420375, 3, 12, 592, 99, 421, 248, 1, 1
1758419420375, 2, 9, 597, 98, 415, 249, 0, 10
1758419420375, 3, 22, 598, 96, 415, 247, 0, 4
1758419420375, 4, 6, 591, 96, 411, 247, 1, 3
1758419420375, 1, 15, 593, 98, 412, 247, 1, 4
1758419420375, 5, 19, 591, 95, 414, 250, 2, 2
1758419420375, 2, 3, 591, 96, 412, 244, 9, 4
1758419420375, 5, 1, 596, 97, 414, 245, 1, 7
1758419420375, 3, 3, 593, 95, 412, 257, 1, 2
1758419420375, 3, 5, 599, 97, 411, 248, 2, 1
1758419420375, 3, 5, 592, 96, 411, 251, 1, 2
1758419420375, 4, 21, 598, 96, 412, 248, 2, 4
1758419420375, 1, 8, 591, 97, 411, 246, 2, 1
1758419420375, 12, 6, 595, 96, 411, 245, 0, 5
1758419420375, 14, 6, 603, 95, 415, 248, 9, 3
1758419420375, 3, 6, 594, 97, 411, 245, 4, 2
1758419420375, 2, 7, 593, 97, 415, 247, 1, 12
1758419420375, 3, 25, 599, 97, 415, 247, 4, 3
1758419420375, 7, 15, 592, 106, 415, 249, 3, 2
1758419420375, 2, 14, 593, 98, 411, 248, 3, 3
1758419420375, 0, 11, 599, 97, 411, 253, 3, 1
1758419420375, 6, 10, 590, 96, 415, 246, 4, 1
1758419420375, 4, 7, 592, 97, 412, 247, 2, 3
1758419420375, 3, 3, 593, 98, 414, 247, 1, 3
1758419420375, 3, 0, 597, 96, 411, 248, 7, 1
1758419420375, 4, 2, 591, 95, 410, 249, 1, 4
1758419420375, 4, 1, 592, 97, 410, 246, 2, 6
1758419420375, 4, 1, 594, 101, 414, 246, 3, 2
1758419420375, 0, 3, 598, 97, 410, 246, 0, 3
1758419420375, 3, 20, 595, 99, 412, 248, 3, 1
1758419420375, 1, 7, 596, 95, 412, 248, 2, 1
1758419420375, 1, 6, 592, 95, 415, 245, 3, 5
1758419420375, 13, 6, 592, 96, 415, 243, 0, 4
1758419420375, 3, 21, 596, 98, 415, 244, 3, 6
1758419420375, 3, 7, 592, 97, 409, 256, 2, 2
1758419420375, 4, 6, 595, 95, 409, 249, 2, 1
1758419420375, 5, 24, 592, 101, 411, 249, 3, 4
1758419420375, 6, 28, 587, 96, 411, 255, 3, 2
1758419420375, 4, 16, 595, 97, 410, 246, 2, 0
1758419420375, 6, 15, 599, 97, 411, 246, 1, 5
1758419420375, 6, 11, 592, 96, 411, 252, 0, 2
1758419420375, 3, 9, 600, 96, 415, 248, 1, 4
1758419420375, 1, 7, 592, 93, 414, 246, 1, 3
1758419420375, 0, 3, 593, 97, 414, 244, 1, 10
1758419420375, 2, 1, 591, 99, 414, 249, 8, 3
1758419420375, 2, 1, 597, 96, 414, 246, 2, 2
1758419420375, 7, 9, 591, 95, 411, 246, 2, 2
1758419420375, 4, 2, 599, 97, 415, 248, 2, 6
1758419420375, 6, 3, 593, 97, 414, 248, 0, 2
1758419420375, 4, 5, 591, 96, 410, 246, 6, 7
1758419420375, 11, 4, 599, 106, 411, 251, 11, 3
1758419420375, 4, 5, 598, 98, 414, 248, 1, 1
1758419420375, 3, 6, 595, 98, 415, 246, 7, 3
1758419420375, 2, 7, 596, 96, 414, 245, 3, 4
1758419420375, 8, 5, 590, 98, 414, 249, 5, 3
1758419420375, 12, 7, 596, 96, 414, 245, 1, 2
1758419420375, 3, 8, 599, 97, 419, 245, 1, 5
1758419420375, 3, 12, 597, 97, 415, 246, 2, 4
1758419420375, 4, 13, 595, 97, 411, 255, 5, 4
1758419420375, 2, 13, 597, 97, 423, 246, 3, 2
1758419420375, 1, 11, 599, 96, 419, 245, 1, 3
1758419420375, 2, 9, 600, 96, 413, 253, 2, 2
1758419420375, 7, 6, 592, 97, 414, 252, 1, 5
1758419420375, 2, 3, 597, 96, 413, 247, 4, 4
1758419420375, 5, 13, 600, 98, 412, 256, 7, 1
1758419420375, 4, 19, 592, 96, 419, 249, 1, 2
1758419420375, 3, 3, 596, 96, 409, 246, 1, 2
1758419420375, 2, 1, 592, 99, 411, 249, 11, 2
1758419420375, 6, 6, 600, 98, 411, 245, 4, 3
1758419420375, 4, 4, 599, 99, 419, 255, 1, 3
1758419420375, 3, 15, 596, 100, 411, 247, 1, 9
1758419420375, 2, 7, 597, 96, 410, 246, 1, 5
1758419420375, 6, 20, 598, 97, 413, 250, 3, 5
1758419420375, 3, 8, 601, 97, 411, 246, 1, 3
1758419420375, 4, 6, 599, 97, 412, 245, 3, 4
1758419420375, 5, 7, 603, 98, 414, 256, 2, 4
1758419420375, 5, 8, 591, 98, 411, 248, 2, 3
1758419420375, 9, 13, 598, 97, 415, 245, 4, 3
1758419420375, 3, 14, 592, 101, 411, 248, 3, 10
1758419420375, 6, 13, 592, 96, 415, 246, 1, 6
1758419420375, 1, 11, 598, 103, 411, 248, 3, 1
1758419420375, 4, 9, 603, 96, 409, 247, 4, 7
1758419420375, 7, 7, 592, 97, 415, 248, 2, 3
1758419420375, 3, 2, 592, 94, 411, 247, 0, 4
1758419420375, 3, 7, 599, 95, 415, 248, 7, 2
1758419420375, 4, 3, 597, 104, 414, 248, 2, 3
1758419420375, 8, 0, 597, 97, 412, 248, 4, 5
1758419420375, 3, 16, 593, 95, 412, 251, 2, 1
1758419420375, 3, 13, 597, 95, 409, 248, 3, 4
1758419420375, 6, 5, 597, 96, 417, 246, 12, 4
1758419420375, 4, 6, 598, 96, 415, 248, 4, 8
1758419420375, 9, 5, 594, 102, 414, 248, 3, 1
1758419420375, 10, 4, 592, 93, 412, 244, 3, 2
1758419420375, 4, 6, 593, 94, 409, 247, 1, 3
1758419420375, 4, 5, 597, 95, 413, 257, 2, 3
1758419420375, 1, 7, 592, 97, 412, 249, 2, 2
1758419420375, 4, 9, 596, 96, 412, 249, 2, 11
1758419420375, 3, 11, 598, 98, 413, 249, 2, 3
1758419420375, 7, 27, 592, 97, 414, 249, 2, 3
1758419420375, 2, 18, 593, 95, 413, 248, 11, 3
1758419420375, 3, 12, 591, 93, 414, 248, 6, 4
1758419420375, 7, 9, 598, 97, 413, 251, 4, 3
1758419420375, 5, 7, 595, 104, 413, 248, 5, 3
1758419420375, 5, 19, 594, 104, 422, 248, 1, 2
1758419420375, 1, 3, 592, 99, 414, 249, 2, 4
1758419420375, 4, 2, 592, 95, 412, 249, 1, 2
1758419420375, 5, 0, 599, 95, 409, 249, 4, 2
1758419420375, 3, 1, 592, 96, 412, 249, 3, 4
1758419420375, 1, 3, 592, 95, 412, 246, 3, 3
1758419420375, 9, 5, 595, 93, 413, 245, 4, 2
1758419420375, 2, 6, 594, 95, 413, 245, 1, 3
1758419420375, 5, 9, 596, 96, 412, 245, 2, 3
1758419420375, 4, 6, 602, 93, 409, 248, 1, 4
1758419420375, 2, 5, 591, 95, 409, 248, 2, 3
1758419420375, 5, 6, 597, 96, 419, 248, 4, 5
1758419420375, 5, 6, 599, 96, 413, 253, 2, 0
1758419420375, 5, 9, 595, 95, 411, 248, 3, 3
1758419420375, 5, 13, 594, 96, 413, 245, 11, 2
1758419420375, 4, 13, 599, 97, 410, 248, 1, 2
1758419420375, 0, 14, 589, 99, 408, 246, 1, 2
1758419420375, 2, 11, 591, 101, 412, 246, 3, 3
1758419420375, 3, 9, 591, 96, 409, 248, 4, 1
1758419420375, 5, 6, 599, 96, 409, 247, 3, 1
1758419420375, 1, 3, 591, 94, 414, 245, 3, 3
1758419420375, 4, 16, 604, 95, 413, 245, 0, 5
1758419420375, 4, 3, 592, 95, 409, 249, 2, 2
1758419420375, 3, 0, 592, 96, 412, 246, 3, 3
1758419420375, 7, 16, 592, 96, 409, 245, 2, 4
1758419420375, 4, 6, 595, 96, 413, 246, 2, 5
1758419420375, 4, 5, 596, 97, 412, 246, 2, 3
1758419420375, 3, 16, 598, 96, 413, 249, 1, 3
1758419420375, 6, 7, 595, 94, 420, 246, 1, 5
1758419420375, 1, 21, 596, 96, 409, 249, 5, 3
1758419420375, 1, 8, 597, 95, 413, 248, 3, 1
1758419420375, 4, 7, 596, 95, 410, 250, 0, 6
1758419420375, 4, 22, 597, 95, 412, 246, 1, 3
1758419420375, 3, 10, 594, 96, 409, 247, 2, 3
1758419420375, 2, 12, 597, 96, 414, 249, 2, 3
1758419420375, 2, 14, 598, 95, 412, 247, 1, 2
1758419420375, 5, 14, 592, 95, 409, 248, 0, 3
1758419420375, 1, 12, 605, 92, 415, 247, 1, 5
1758419420375, 3, 9, 597, 94, 412, 248, 2, 1
1758419420375, 6, 7, 589, 96, 420, 246, 3, 7
1758419420375, 1, 3, 597, 97, 411, 249, 1, 4
1758419420377, 6, 1, 599, 94, 414, 247, 1, 4
1758419420377, 6, 1, 592, 96, 409, 250, 2, 2
1758419420377, 6, 0, 597, 95, 412, 248, 4, 2
1758419420378, 5, 1, 592, 97, 409, 248, 0, 5
1758419420379, 3, 3, 603, 95, 414, 246, 1, 2
1758419420390, 6, 19, 596, 95, 415, 247, 3, 3
1758419420390, 5, 7, 599, 96, 410, 248, 2, 1
1758419420390, 7, 5, 596, 98, 412, 247, 3, 5
1758419420390, 2, 8, 592, 98, 411, 251, 3, 4
1758419420390, 4, 10, 592, 97, 411, 248, 2, 3
1758419420390, 3, 6, 592, 97, 422, 250, 4, 2
1758419420390, 5, 21, 608, 107, 411, 246, 1, 3
1758419420390, 2, 25, 596, 96, 414, 245, 1, 3
1758419420390, 1, 30, 599, 95, 412, 250, 3, 10
1758419420390, 3, 32, 595, 96, 410, 248, 1, 2
1758419420390, 4, 16, 593, 96, 408, 246, 1, 4
1758419420405, 4, 13, 594, 95, 414, 247, 0, 2
1758419420405, 4, 10, 591, 95, 409, 246, 4, 3
1758419420405, 2, 6, 600, 98, 416, 247, 1, 3
1758419420405, 4, 3, 596, 94, 411, 245, 1, 3
1758419420405, 5, 1, 603, 94, 415, 248, 4, 3
1758419420405, 4, 1, 599, 95, 423, 248, 1, 3
1758419420405, 4, 12, 593, 95, 411, 248, 2, 2
1758419420405, 4, 17, 596, 96, 412, 248, 3, 4
1758419420405, 5, 5, 593, 94, 414, 247, 1, 3
1758419420405, 11, 6, 604, 96, 415, 246, 0, 4
1758419420405, 13, 6, 592, 96, 411, 245, 0, 2
1758419420405, 1, 6, 599, 95, 410, 248, 1, 0
1758419420405, 6, 5, 598, 95, 415, 248, 0, 2
1758419420405, 8, 6, 598, 96, 412, 248, 0, 3
1758419420405, 4, 6, 593, 97, 411, 249, 7, 9
1758419420419, 6, 6, 603, 99, 409, 247, 2, 3
1758419420419, 3, 8, 595, 96, 413, 248, 2, 2
