unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419456244, S, 4, 3, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419456338, 1, 20, 542, 91, 395, 208, 5, 2
1758419456338, 0, 26, 539, 92, 393, 204, 0, 2
1758419456338, 4, 7, 537, 93, 397, 206, 4, 3
1758419456338, 1, 3, 543, 90, 397, 206, 0, 2
1758419456338, 5, 16, 535, 93, 400, 207, 0, 2
1758419456338, 2, 4, 539, 92, 397, 205, 4, 4
1758419456338, 5, 0, 535, 91, 396, 204, 1, 2
1758419456338, 4, 9, 535, 103, 398, 205, 0, 3
1758419456338, 4, 5, 543, 91, 398, 209, 2, 3
1758419456338, 3, 4, 536, 92, 398, 207, 10, 3
1758419456338, 2, 6, 539, 92, 392, 204, 2, 2
1758419456338, 2, 5, 530, 93, 393, 204, 2, 3
1758419456338, 2, 6, 523, 92, 393, 209, 0, 4
1758419456338, 4, 5, 527, 92, 398, 204, 0, 4
1758419456338, 2, 6, 523, 92, 392, 207, 3, 7
1758419456338, 4, 7, 531, 92, 391, 206, 0, 2
1758419456338, 3, 10, 531, 92, 393, 204, 1, 3
1758419456338, 2, 27, 528, 102, 396, 205, 0, 2
1758419456338, 14, 16, 526, 91, 397, 204, 4, 8
1758419456338, 2, 13, 532, 102, 395, 207, 0, 9
1758419456338, 5, 10, 526, 93, 397, 206, 0, 3
1758419456338, 6, 23, 526, 91, 396, 203, 0, 6
1758419456338, 3, 7, 524, 91, 394, 205, 2, 3
1758419456338, 14, 1, 527, 92, 396, 206, 0, 3
1758419456338, 2, 1, 527, 94, 393, 205, 1, 3
1758419456338, 2, 1, 527, 91, 392, 208, 2, 3
1758419456338, 5, 0, 533, 92, 393, 208, 2, 4
1758419456338, 4, 2, 524, 91, 393, 206, 0, 4
1758419456338, 3, 4, 528, 91, 395, 209, 0, 5
1758419456338, 4, 21, 531, 90, 399, 209, 0, 1
1758419456338, 2, 22, 530, 92, 396, 211, 5, 3
1758419456338, 2, 8, 537, 93, 393, 210, 11, 1
1758419456338, 4, 6, 527, 93, 396, 214, 0, 4
1758419456338, 4, 19, 528, 90, 397, 209, 1, 3
1758419456338, 3, 8, 534, 91, 391, 212, 3, 4
1758419456338, 3, 7, 528, 92, 393, 209, 1, 4
1758419456338, 2, 25, 526, 93, 393, 211, 2, 4
1758419456338, 6, 29, 540, 92, 393, 210, 1, 3
1758419456338, 4, 17, 523, 93, 396, 209, 1, 4
1758419456338, 1, 28, 528, 91, 396, 208, 2, 0
1758419456338, 6, 13, 528, 92, 393, 211, 2, 3
1758419456338, 2, 9, 529, 93, 399, 208, 3, 2
1758419456338, 3, 5, 529, 91, 393, 211, 2, 2
1758419456338, 5, 9, 528, 91, 397, 211, 2, 3
1758419456338, 6, 1, 535, 93, 396, 208, 2, 3
1758419456338, 4, 2, 534, 92, 396, 211, 2, 7
1758419456338, 4, 0, 531, 94, 392, 211, 4, 1
1758419456338, 12, 3, 535, 91, 397, 209, 0, 2
1758419456338, 7, 4, 544, 92, 398, 208, 3, 3
1758419456338, 2, 20, 535, 92, 391, 210, 1, 2
1758419456338, 0, 8, 538, 93, 397, 211, 1, 2
1758419456338, 4, 6, 534, 91, 403, 209, 1, 1
1758419456338, 3, 11, 535, 90, 393, 209, 2, 3
1758419456338, 1, 6, 531, 91, 399, 210, 1, 3
1758419456338, 10, 5, 534, 91, 399, 210, 1, 2
1758419456338, 5, 7, 534, 90, 393, 211, 2, 0
1758419456338, 2, 10, 536, 92, 398, 212, 3, 3
1758419456338, 11, 13, 531, 93, 393, 215, 9, 3
1758419456338, 5, 30, 547, 91, 395, 212, 1, 4
1758419456338, 4, 15, 537, 94, 395, 209, 0, 3
1758419456338, 4, 12, 538, 98, 391, 211, 1, 3
1758419456338, 3, 8, 535, 91, 395, 213, 3, 5
1758419456338, 9, 5, 537, 90, 397, 209, 3, 2
1758419456338, 3, 2, 537, 92, 399, 209, 3, 3
1758419456338, 4, 0, 537, 92, 398, 211, 9, 2
1758419456338, 7, 1, 536, 91, 399, 212, 2, 2
1758419456338, 4, 0, 537, 91, 401, 214, 3, 1
1758419456338, 3, 15, 531, 92, 400, 213, 1, 7
1758419456338, 5, 5, 533, 91, 393, 212, 2, 2
1758419456338, 9, 5, 531, 92, 393, 210, 2, 1
1758419456338, 1, 6, 538, 92, 397, 209, 2, 2
1758419456338, 5, 14, 536, 91, 398, 212, 7, 3
1758419456338, 3, 6, 535, 92, 393, 211, 12, 4
1758419456338, 4, 6, 531, 92, 394, 215, 2, 1
1758419456338, 4, 21, 534, 92, 391, 213, 2, 4
1758419456338, 8, 9, 536, 90, 397, 212, 1, 2
1758419456338, 9, 12, 536, 92, 401, 212, 1, 3
1758419456338, 5, 25, 531, 103, 393, 210, 2, 4
1758419456338, 6, 18, 531, 91, 396, 212, 1, 5
1758419456338, 6, 13, 533, 92, 398, 212, 0, 7
1758419456338, 6, 9, 532, 92, 396, 213, 2, 3
1758419456338, 6, 9, 531, 95, 396, 209, 1, 3
1758419456338, 3, 4, 530, 94, 403, 212, 3, 11
1758419456338, 4, 17, 533, 91, 394, 213, 0, 3
