unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419492263, S, -2, 3, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419492363, 4, 6, 615, 80, 382, 203, 0, 2
1758419492363, 3, 5, 612, 77, 375, 203, 2, 10
1758419492363, 0, 5, 616, 80, 389, 204, 1, 0
1758419492363, 5, 23, 616, 79, 381, 201, 1, 3
1758419492363, 3, 11, 616, 83, 380, 201, 3, 2
1758419492363, 3, 28, 618, 90, 381, 204, 2, 3
1758419492363, 0, 16, 619, 79, 382, 202, 3, 3
1758419492363, 6, 15, 619, 82, 380, 201, 0, 9
1758419492363, 4, 27, 621, 78, 377, 201, 1, 3
1758419492363, 7, 12, 615, 82, 381, 200, 2, 4
1758419492363, 6, 6, 616, 92, 379, 203, 3, 5
1758419492363, 5, 19, 618, 78, 383, 203, 2, 6
1758419492363, 4, 2, 620, 82, 381, 206, 1, 1
1758419492363, 2, 2, 615, 80, 381, 202, 2, 3
1758419492363, 7, 0, 623, 77, 377, 203, 2, 3
1758419492363, 4, 0, 617, 79, 377, 206, 4, 3
1758419492363, 3, 2, 623, 81, 377, 203, 3, 4
1758419492363, 4, 4, 623, 77, 382, 204, 2, 3
1758419492363, 3, 5, 622, 80, 377, 203, 1, 3
1758419492363, 3, 19, 624, 78, 383, 205, 1, 2
1758419492363, 2, 7, 623, 81, 382, 205, 0, 2
1758419492363, 4, 7, 615, 78, 381, 204, 1, 3
1758419492363, 2, 6, 622, 79, 380, 201, 2, 3
1758419492363, 3, 17, 621, 81, 380, 201, 1, 2
1758419492363, 12, 10, 627, 80, 378, 204, 2, 3
1758419492363, 4, 13, 630, 79, 378, 203, 2, 2
1758419492363, 3, 30, 623, 79, 377, 204, 3, 3
1758419492363, 9, 16, 615, 77, 381, 204, 2, 3
1758419492363, 4, 13, 619, 79, 380, 202, 3, 4
1758419492363, 14, 10, 623, 80, 382, 204, 3, 2
1758419492363, 3, 5, 619, 76, 382, 201, 3, 2
1758419492363, 1, 2, 623, 79, 381, 201, 2, 2
1758419492363, 5, 1, 625, 78, 380, 203, 3, 7
1758419492363, 3, 7, 623, 79, 377, 204, 1, 2
1758419492363, 6, 0, 619, 81, 383, 204, 3, 5
1758419492363, 4, 0, 614, 79, 385, 204, 0, 3
1758419492363, 4, 3, 620, 80, 381, 201, 1, 3
1758419492363, 3, 19, 623, 79, 377, 206, 4, 3
1758419492363, 5, 7, 623, 80, 375, 204, 1, 3
1758419492363, 0, 22, 627, 80, 375, 202, 5, 3
1758419492363, 0, 23, 623, 78, 381, 205, 1, 3
1758419492363, 5, 8, 620, 80, 381, 202, 0, 3
1758419492363, 5, 6, 620, 78, 375, 204, 5, 4
1758419492363, 3, 5, 617, 80, 379, 204, 0, 9
1758419492363, 4, 24, 617, 80, 381, 205, 1, 4
1758419492363, 5, 15, 620, 85, 381, 203, 0, 3
1758419492363, 7, 15, 617, 80, 383, 205, 1, 2
1758419492363, 4, 26, 622, 79, 377, 202, 1, 3
1758419492363, 12, 13, 619, 78, 384, 205, 5, 4
1758419492363, 6, 9, 623, 87, 380, 203, 1, 2
1758419492363, 4, 6, 620, 82, 380, 201, 3, 3
1758419492363, 3, 3, 621, 79, 380, 203, 0, 3
1758419492363, 3, 6, 617, 79, 377, 205, 2, 2
1758419492363, 3, 1, 619, 80, 380, 202, 6, 2
1758419492363, 3, 0, 617, 78, 377, 205, 0, 0
1758419492363, 9, 16, 619, 82, 379, 204, 2, 1
1758419492363, 5, 20, 623, 81, 380, 200, 4, 3
1758419492363, 5, 7, 617, 80, 377, 199, 0, 1
1758419492363, 4, 6, 620, 78, 380, 202, 1, 1
1758419492363, 3, 5, 625, 80, 379, 212, 2, 4
1758419492363, 3, 5, 630, 80, 377, 204, 3, 2
1758419492363, 3, 5, 624, 89, 391, 203, 3, 2
1758419492363, 4, 6, 621, 80, 380, 206, 1, 7
1758419492363, 1, 7, 622, 81, 377, 201, 2, 0
1758419492363, 2, 8, 619, 81, 375, 203, 2, 3
1758419492363, 5, 12, 621, 78, 382, 206, 4, 3
1758419492363, 5, 15, 623, 82, 375, 204, 0, 3
1758419492363, 5, 14, 627, 82, 375, 202, 4, 4
1758419492363, 2, 12, 619, 80, 381, 203, 9, 5
1758419492363, 4, 9, 629, 79, 375, 202, 1, 4
1758419492363, 6, 7, 623, 79, 378, 205, 0, 4
1758419492363, 4, 3, 624, 83, 379, 202, 3, 2
1758419492363, 3, 0, 620, 79, 380, 202, 1, 3
1758419492363, 2, 0, 625, 79, 375, 202, 3, 2
1758419492363, 3, 0, 619, 80, 376, 201, 3, 4
1758419492363, 3, 0, 629, 80, 379, 205, 3, 4
1758419492363, 5, 3, 634, 80, 375, 205, 0, 3
1758419492363, 3, 4, 624, 81, 377, 201, 4, 3
1758419492363, 7, 4, 624, 91, 377, 203, 0, 2
1758419492363, 8, 5, 624, 78, 380, 204, 4, 4
1758419492363, 5, 6, 624, 82, 379, 200, 2, 1
1758419492363, 8, 6, 624, 81, 379, 202, 0, 2
1758419492363, 4, 5, 627, 80, 380, 205, 1, 3
1758419492363, 3, 21, 624, 79, 378, 205, 2, 3
1758419492363, 5, 11, 635, 80, 380, 206, 2, 2
1758419492363, 5, 29, 629, 79, 385, 205, 2, 3
1758419492363, 5, 17, 623, 79, 380, 205, 4, 4
1758419492363, 4, 15, 630, 78, 379, 210, 1, 3
1758419492363, 4, 12, 624, 79, 378, 204, 1, 3
1758419492363, 4, 10, 628, 81, 379, 205, 4, 1
1758419492363, 3, 6, 631, 78, 381, 204, 2, 1
1758419492363, 14, 17, 627, 83, 379, 204, 3, 3
1758419492363, 3, 2, 637, 79, 376, 202, 3, 3
1758419492363, 4, 1, 631, 79, 376, 202, 3, 3
1758419492363, 3, 0, 631, 80, 375, 203, 2, 3
1758419492363, 4, 1, 624, 79, 380, 204, 2, 3
1758419492363, 0, 3, 631, 78, 376, 202, 0, 3
1758419492363, 6, 5, 624, 81, 380, 204, 0, 2
1758419492363, 6, 5, 635, 80, 376, 203, 2, 11
1758419492363, 4, 20, 625, 79, 387, 207, 3, 3
1758419492364, 4, 24, 630, 79, 385, 215, 4, 1
1758419492364, 5, 8, 630, 79, 385, 203, 1, 3
1758419492364, 4, 6, 630, 81, 380, 211, 1, 3
1758419492366, 7, 6, 631, 78, 377, 211, 0, 2
1758419492369, 2, 9, 631, 78, 376, 202, 1, 3
1758419492369, 3, 13, 633, 79, 376, 201, 1, 3
1758419492384, 10, 14, 631, 79, 379, 204, 2, 4
1758419492384, 1, 21, 630, 78, 384, 201, 1, 2
1758419492384, 5, 13, 631, 80, 377, 204, 4, 3
