unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419617282, S, 0, 4, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419617502, 2, 5, 521, 122, 411, 224, 2, 2
1758419617502, 4, 5, 524, 122, 404, 228, 2, 2
1758419617502, 5, 5, 514, 122, 402, 223, 1, 12
1758419617502, 2, 4, 523, 124, 403, 223, 2, 2
1758419617502, 1, 4, 523, 125, 403, 222, 1, 3
1758419617502, 6, 5, 519, 124, 411, 225, 1, 2
1758419617502, 3, 5, 525, 126, 402, 223, 3, 2
1758419617502, 2, 4, 527, 126, 403, 223, 2, 3
1758419617502, 4, 5, 519, 126, 405, 223, 2, 2
1758419617502, 4, 6, 513, 130, 400, 224, 2, 3
1758419617502, 5, 5, 514, 125, 402, 223, 1, 3
1758419617502, 2, 5, 524, 129, 404, 223, 2, 2
1758419617502, 3, 4, 513, 135, 403, 221, 2, 3
1758419617502, 1, 5, 518, 126, 400, 223, 1, 3
1758419617502, 3, 7, 519, 127, 400, 222, 2, 3
1758419617502, 3, 21, 515, 126, 403, 226, 1, 1
1758419617502, 4, 9, 515, 128, 398, 223, 1, 2
1758419617502, 5, 7, 521, 127, 397, 225, 2, 3
1758419617502, 6, 6, 517, 126, 400, 223, 11, 2
1758419617502, 2, 19, 520, 128, 404, 221, 1, 3
1758419617502, 3, 7, 515, 131, 402, 224, 1, 2
1758419617502, 5, 4, 517, 126, 407, 222, 2, 2
1758419617502, 4, 4, 523, 126, 403, 222, 1, 3
1758419617502, 4, 5, 522, 127, 405, 223, 8, 2
1758419617502, 1, 4, 523, 127, 410, 221, 2, 3
1758419617502, 3, 4, 523, 125, 407, 222, 1, 2
1758419617502, 5, 5, 520, 129, 403, 221, 2, 3
1758419617502, 11, 5, 525, 127, 403, 223, 1, 3
1758419617502, 5, 20, 520, 126, 404, 221, 1, 2
1758419617502, 6, 12, 520, 125, 406, 221, 1, 4
1758419617502, 6, 6, 520, 125, 404, 225, 2, 3
1758419617502, 4, 5, 521, 128, 406, 221, 2, 3
1758419617502, 1, 6, 519, 125, 403, 231, 2, 2
1758419617502, 13, 6, 531, 128, 403, 222, 7, 2
1758419617502, 3, 7, 521, 125, 401, 223, 1, 2
1758419617502, 3, 7, 523, 128, 407, 224, 4, 2
1758419617502, 7, 16, 523, 126, 403, 224, 2, 3
1758419617502, 0, 7, 527, 125, 401, 222, 2, 1
1758419617502, 4, 6, 524, 127, 402, 221, 1, 2
1758419617502, 3, 5, 524, 127, 406, 222, 7, 3
1758419617502, 4, 20, 524, 126, 406, 222, 2, 3
1758419617502, 0, 7, 527, 128, 401, 221, 2, 3
1758419617502, 4, 6, 527, 129, 407, 220, 1, 4
1758419617502, 3, 6, 528, 127, 406, 222, 1, 6
1758419617502, 4, 16, 526, 128, 407, 221, 2, 4
1758419617502, 9, 6, 522, 129, 403, 221, 1, 2
1758419617502, 5, 5, 528, 129, 405, 221, 2, 6
1758419617502, 2, 5, 522, 127, 404, 220, 1, 3
1758419617502, 4, 5, 527, 129, 403, 223, 1, 3
1758419617502, 1, 5, 525, 130, 406, 227, 2, 3
1758419617502, 5, 6, 522, 127, 407, 223, 2, 2
1758419617502, 7, 20, 524, 129, 403, 222, 2, 3
1758419617502, 3, 22, 523, 135, 402, 222, 2, 3
1758419617502, 3, 8, 524, 126, 407, 221, 2, 2
1758419617502, 5, 7, 525, 130, 405, 225, 7, 2
1758419617502, 6, 8, 523, 126, 405, 225, 2, 3
1758419617502, 7, 22, 525, 125, 414, 223, 2, 2
1758419617502, 3, 8, 523, 127, 404, 223, 2, 2
1758419617502, 3, 6, 531, 127, 407, 223, 1, 11
1758419617502, 5, 7, 528, 134, 406, 231, 1, 2
1758419617502, 9, 5, 526, 127, 404, 228, 1, 10
1758419617502, 3, 4, 531, 127, 406, 226, 1, 3
1758419617502, 2, 4, 525, 129, 406, 221, 2, 3
1758419617502, 8, 4, 523, 129, 403, 224, 2, 3
1758419617502, 6, 3, 531, 130, 403, 224, 5, 3
1758419617502, 3, 3, 535, 127, 403, 222, 1, 2
1758419617502, 2, 5, 533, 127, 404, 224, 3, 3
1758419617502, 4, 20, 528, 128, 407, 232, 2, 4
1758419617502, 4, 8, 523, 129, 404, 222, 11, 3
1758419617502, 2, 5, 528, 132, 405, 223, 2, 3
1758419617502, 4, 5, 528, 130, 407, 223, 1, 3
1758419617502, 3, 5, 528, 126, 403, 223, 1, 3
1758419617502, 4, 5, 531, 129, 404, 224, 11, 5
1758419617502, 7, 6, 528, 129, 411, 223, 1, 3
1758419617502, 5, 7, 528, 128, 409, 223, 10, 2
1758419617502, 8, 21, 530, 139, 407, 222, 1, 3
1758419617502, 3, 9, 527, 128, 406, 224, 2, 2
1758419617502, 7, 18, 528, 127, 407, 222, 2, 3
1758419617502, 7, 7, 528, 127, 411, 224, 2, 2
1758419617502, 6, 5, 530, 130, 409, 225, 2, 12
1758419617502, 3, 10, 530, 129, 405, 224, 4, 3
1758419617502, 5, 5, 528, 129, 405, 223, 1, 2
1758419617502, 8, 4, 527, 128, 413, 224, 1, 2
1758419617502, 4, 4, 523, 129, 404, 221, 2, 9
1758419617502, 5, 16, 528, 131, 403, 225, 2, 2
1758419617502, 8, 7, 535, 127, 405, 221, 2, 3
1758419617502, 3, 6, 528, 128, 407, 220, 1, 6
1758419617502, 8, 20, 534, 127, 409, 221, 1, 2
1758419617502, 2, 7, 531, 130, 407, 225, 1, 5
1758419617502, 7, 6, 531, 128, 408, 224, 3, 3
1758419617502, 3, 5, 525, 130, 406, 222, 7, 3
1758419617502, 5, 5, 526, 129, 406, 221, 2, 3
1758419617502, 4, 6, 529, 127, 416, 224, 2, 2
1758419617502, 3, 21, 530, 127, 406, 222, 3, 3
1758419617502, 3, 8, 533, 129, 409, 222, 7, 3
1758419617502, 2, 8, 533, 127, 407, 226, 1, 3
1758419617502, 4, 7, 528, 128, 403, 222, 1, 2
1758419617502, 3, 6, 528, 128, 416, 222, 1, 4
1758419617502, 7, 6, 539, 127, 407, 224, 2, 2
1758419617502, 4, 21, 532, 131, 407, 224, 4, 4
1758419617502, 3, 6, 533, 128, 406, 220, 2, 3
1758419617502, 4, 5, 532, 127, 406, 223, 1, 3
1758419617502, 0, 7, 534, 139, 407, 226, 1, 3
1758419617502, 4, 5, 530, 126, 416, 221, 2, 3
1758419617502, 4, 5, 538, 127, 406, 222, 2, 3
1758419617502, 7, 5, 527, 129, 407, 221, 2, 3
1758419617502, 4, 5, 535, 128, 407, 228, 3, 3
1758419617502, 6, 16, 533, 128, 406, 224, 1, 11
1758419617502, 5, 22, 539, 129, 402, 223, 1, 3
1758419617502, 5, 8, 531, 128, 407, 221, 2, 2
1758419617502, 6, 20, 527, 129, 406, 221, 1, 3
1758419617502, 3, 7, 535, 129, 403, 221, 2, 4
1758419617502, 6, 5, 529, 125, 407, 221, 2, 2
1758419617502, 4, 20, 528, 128, 407, 222, 2, 3
1758419617502, 5, 9, 527, 130, 407, 221, 1, 3
1758419617502, 5, 8, 531, 131, 407, 223, 1, 3
1758419617502, 3, 22, 531, 137, 402, 221, 1, 3
1758419617502, 4, 9, 535, 124, 403, 225, 1, 6
1758419617502, 7, 5, 535, 125, 403, 222, 2, 2
1758419617502, 2, 6, 532, 127, 404, 220, 7, 2
1758419617502, 1, 5, 539, 126, 407, 221, 2, 7
1758419617502, 4, 4, 531, 125, 406, 225, 2, 3
1758419617502, 4, 19, 540, 128, 403, 221, 2, 3
1758419617502, 5, 7, 530, 126, 404, 233, 1, 3
1758419617502, 4, 20, 535, 127, 403, 223, 2, 3
1758419617502, 0, 7, 539, 126, 403, 223, 2, 3
1758419617502, 5, 6, 543, 123, 407, 223, 1, 4
1758419617502, 2, 5, 531, 125, 403, 220, 2, 2
1758419617502, 1, 4, 536, 126, 406, 230, 2, 2
1758419617502, 4, 5, 537, 124, 406, 223, 2, 3
1758419617502, 6, 20, 547, 126, 405, 227, 2, 3
1758419617502, 3, 7, 535, 124, 406, 222, 10, 3
1758419617502, 2, 6, 531, 128, 404, 223, 6, 3
1758419617502, 3, 5, 531, 128, 403, 224, 1, 3
1758419617502, 2, 10, 536, 128, 407, 222, 2, 3
1758419617502, 3, 8, 534, 127, 404, 224, 2, 3
1758419617502, 2, 11, 531, 128, 407, 223, 0, 1
1758419617502, 6, 6, 539, 127, 403, 223, 2, 3
1758419617502, 4, 6, 537, 128, 409, 222, 2, 3
1758419617502, 7, 21, 537, 125, 403, 225, 1, 3
1758419617502, 0, 7, 531, 127, 406, 223, 1, 11
1758419617502, 4, 4, 536, 129, 402, 226, 2, 2
1758419617502, 5, 4, 545, 127, 403, 223, 1, 6
1758419617502, 3, 14, 537, 125, 402, 223, 2, 3
1758419617502, 2, 20, 536, 127, 403, 226, 1, 3
1758419617502, 4, 7, 536, 127, 406, 223, 2, 2
1758419617502, 4, 6, 543, 128, 403, 221, 2, 3
1758419617502, 5, 6, 539, 126, 401, 225, 2, 4
1758419617502, 5, 5, 539, 137, 404, 222, 2, 3
1758419617502, 0, 6, 535, 129, 404, 226, 1, 3
1758419617502, 8, 6, 536, 128, 403, 221, 1, 3
1758419617502, 3, 5, 541, 128, 403, 231, 2, 2
1758419617502, 4, 5, 541, 130, 404, 223, 1, 3
1758419617502, 6, 4, 542, 127, 404, 223, 2, 3
1758419617502, 2, 6, 543, 126, 405, 222, 2, 3
1758419617502, 3, 7, 540, 129, 404, 233, 2, 3
1758419617502, 2, 6, 547, 130, 406, 226, 1, 3
1758419617502, 9, 7, 536, 126, 407, 223, 7, 3
1758419617502, 3, 6, 537, 131, 404, 232, 1, 2
1758419617502, 1, 5, 542, 127, 405, 222, 2, 3
1758419617502, 5, 5, 540, 127, 402, 224, 1, 3
1758419617502, 3, 3, 542, 127, 405, 222, 1, 3
1758419617502, 3, 4, 543, 129, 400, 224, 3, 3
1758419617502, 3, 5, 537, 128, 401, 222, 2, 3
1758419617502, 5, 4, 535, 128, 400, 231, 1, 3
1758419617502, 3, 5, 543, 138, 400, 225, 2, 2
1758419617502, 4, 5, 543, 127, 400, 224, 2, 3
1758419617502, 4, 6, 540, 125, 400, 223, 1, 3
1758419617502, 9, 4, 543, 127, 401, 222, 1, 2
1758419617502, 4, 5, 543, 127, 407, 221, 2, 3
1758419617502, 5, 6, 540, 126, 400, 233, 3, 2
1758419617502, 5, 5, 547, 128, 405, 224, 1, 7
1758419617502, 4, 6, 542, 129, 405, 221, 7, 3
1758419617502, 6, 6, 544, 139, 404, 225, 2, 3
1758419617502, 5, 6, 547, 130, 405, 223, 1, 3
1758419617502, 3, 7, 551, 129, 401, 222, 2, 3
1758419617502, 8, 7, 539, 132, 401, 222, 2, 3
1758419617502, 0, 7, 542, 127, 405, 223, 2, 3
1758419617502, 0, 13, 544, 129, 404, 222, 2, 3
1758419617502, 3, 6, 546, 128, 406, 223, 2, 3
1758419617502, 4, 5, 544, 126, 403, 223, 1, 3
1758419617502, 4, 4, 544, 128, 401, 223, 2, 3
1758419617502, 3, 5, 544, 129, 401, 229, 10, 7
1758419617502, 4, 4, 547, 126, 407, 222, 1, 2
1758419617502, 4, 4, 547, 127, 402, 223, 2, 3
1758419617502, 4, 21, 548, 129, 408, 224, 1, 3
1758419617502, 2, 7, 547, 130, 404, 223, 0, 2
1758419617502, 3, 5, 546, 130, 405, 221, 1, 2
1758419617502, 3, 4, 544, 129, 404, 223, 1, 4
1758419617502, 2, 4, 544, 129, 402, 223, 1, 3
