unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419856263, S, 2, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419856495, 6, 4, 573, 141, 348, 220, 2, 1
1758419856495, 3, 4, 576, 141, 349, 218, 1, 3
1758419856495, 0, 4, 579, 141, 349, 219, 1, 2
1758419856495, 7, 19, 573, 138, 355, 221, 1, 3
1758419856495, 3, 6, 573, 146, 347, 220, 2, 2
1758419856495, 3, 5, 579, 139, 347, 222, 2, 3
1758419856495, 0, 17, 581, 140, 348, 223, 1, 3
1758419856495, 0, 7, 579, 139, 346, 219, 2, 2
1758419856495, 4, 5, 579, 138, 343, 223, 1, 2
1758419856495, 2, 19, 573, 138, 348, 219, 2, 3
1758419856495, 12, 21, 581, 141, 345, 220, 2, 2
1758419856495, 3, 8, 582, 139, 345, 225, 1, 3
1758419856495, 4, 6, 582, 140, 347, 220, 1, 3
1758419856495, 4, 7, 580, 140, 345, 221, 2, 3
1758419856495, 5, 6, 582, 139, 344, 220, 1, 3
1758419856495, 5, 7, 582, 142, 348, 218, 1, 3
1758419856495, 7, 16, 577, 140, 348, 222, 1, 3
1758419856495, 15, 7, 576, 141, 349, 223, 2, 3
1758419856495, 6, 4, 582, 140, 346, 223, 5, 3
1758419856495, 7, 3, 576, 140, 357, 220, 1, 3
1758419856495, 3, 4, 577, 141, 349, 222, 2, 3
1758419856495, 2, 5, 580, 140, 348, 220, 2, 4
1758419856495, 2, 3, 587, 140, 345, 223, 2, 2
1758419856495, 4, 4, 575, 141, 349, 225, 3, 8
1758419856495, 5, 6, 583, 140, 347, 221, 5, 4
1758419856495, 5, 6, 589, 140, 345, 223, 2, 3
1758419856495, 3, 17, 582, 140, 345, 223, 1, 2
1758419856495, 7, 6, 590, 139, 351, 220, 2, 3
1758419856495, 6, 5, 586, 140, 345, 219, 5, 3
1758419856495, 4, 5, 583, 140, 349, 223, 3, 3
1758419856495, 3, 5, 580, 140, 349, 220, 2, 2
1758419856495, 5, 6, 579, 143, 347, 222, 2, 3
1758419856495, 2, 6, 579, 140, 349, 220, 2, 3
1758419856495, 5, 7, 580, 141, 348, 223, 2, 3
1758419856495, 6, 6, 587, 141, 347, 223, 2, 3
1758419856495, 4, 22, 584, 143, 348, 219, 2, 2
1758419856495, 2, 8, 579, 142, 345, 219, 1, 2
1758419856495, 2, 12, 582, 143, 349, 223, 1, 3
1758419856495, 8, 6, 579, 143, 348, 223, 3, 2
1758419856495, 4, 4, 582, 148, 349, 222, 2, 2
1758419856495, 12, 4, 591, 142, 345, 222, 1, 2
1758419856495, 4, 5, 585, 142, 354, 221, 2, 3
1758419856495, 6, 4, 579, 144, 345, 223, 2, 2
1758419856495, 5, 4, 583, 143, 345, 223, 1, 3
1758419856495, 8, 5, 584, 141, 351, 222, 5, 3
1758419856495, 4, 21, 579, 142, 346, 220, 2, 3
1758419856495, 3, 7, 580, 142, 349, 223, 1, 2
1758419856495, 3, 6, 577, 142, 348, 223, 2, 3
1758419856495, 8, 5, 583, 141, 349, 220, 1, 3
1758419856495, 3, 5, 579, 145, 351, 221, 1, 2
1758419856495, 3, 4, 583, 140, 345, 219, 1, 5
