unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419868269, S, 3, 5, 100, 100, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419868385, 0, 6, 572, 138, 352, 216, 2, 2
1758419868385, 6, 19, 574, 132, 354, 215, 1, 2
1758419868385, 0, 4, 571, 140, 352, 213, 2, 4
1758419868385, 4, 6, 582, 135, 353, 212, 2, 3
1758419868385, 3, 3, 575, 132, 350, 215, 2, 3
1758419868385, 6, 5, 575, 133, 353, 224, 1, 3
1758419868385, 4, 4, 575, 134, 351, 213, 2, 3
1758419868385, 3, 6, 574, 133, 353, 214, 2, 2
1758419868385, 9, 4, 575, 133, 352, 214, 2, 3
1758419868385, 2, 17, 571, 135, 352, 215, 7, 9
1758419868385, 3, 7, 571, 132, 349, 215, 1, 3
1758419868385, 5, 5, 573, 132, 352, 213, 1, 2
1758419868385, 4, 6, 579, 133, 352, 215, 2, 9
1758419868385, 6, 5, 579, 134, 352, 213, 2, 5
1758419868385, 3, 5, 589, 133, 352, 215, 5, 2
1758419868385, 2, 7, 585, 133, 356, 214, 1, 3
1758419868385, 4, 7, 576, 133, 349, 217, 1, 2
1758419868385, 7, 6, 576, 133, 357, 215, 2, 3
1758419868385, 5, 7, 589, 133, 354, 213, 2, 4
1758419868385, 9, 6, 576, 134, 355, 215, 3, 3
1758419868385, 3, 5, 575, 134, 352, 214, 2, 3
1758419868385, 14, 4, 575, 137, 352, 215, 2, 3
1758419868385, 2, 4, 574, 132, 354, 216, 2, 3
1758419868385, 7, 3, 575, 135, 352, 216, 2, 3
1758419868385, 3, 4, 575, 141, 352, 216, 1, 3
1758419868385, 0, 4, 572, 136, 352, 217, 2, 4
1758419868385, 4, 5, 575, 134, 350, 216, 1, 3
1758419868385, 0, 5, 569, 136, 352, 213, 2, 3
1758419868385, 0, 20, 572, 135, 355, 214, 1, 2
1758419868385, 5, 23, 572, 136, 352, 212, 3, 2
1758419868385, 6, 23, 571, 135, 354, 214, 2, 4
1758419868385, 6, 7, 569, 136, 351, 213, 0, 2
1758419868385, 4, 6, 575, 135, 351, 223, 1, 8
1758419868385, 6, 5, 570, 136, 352, 214, 2, 2
1758419868385, 7, 6, 571, 136, 354, 215, 2, 3
1758419868385, 3, 22, 575, 137, 349, 215, 1, 3
1758419868385, 5, 24, 570, 135, 351, 216, 2, 11
1758419868385, 5, 9, 574, 137, 350, 217, 2, 4
1758419868385, 1, 7, 580, 135, 354, 223, 1, 3
1758419868385, 0, 6, 575, 136, 352, 215, 2, 3
