unixtime, personID, onomatopeiaID, session, talk_tone, talk_speed, display
1758419904284, S, -1, 5, 0, 0, True
unixtime(ms), ch1, ch2, ch3, ch4, ch5, ch6, ch7, ch8
1758419904418, 6, 5, 515, 151, 354, 235, 1, 3
1758419904418, 5, 4, 514, 148, 347, 236, 2, 3
1758419904418, 5, 15, 507, 150, 346, 233, 2, 3
1758419904418, 3, 23, 509, 151, 356, 233, 2, 2
1758419904418, 4, 10, 514, 149, 346, 233, 1, 2
1758419904418, 4, 8, 507, 149, 345, 236, 7, 2
1758419904418, 3, 5, 513, 160, 345, 234, 2, 3
1758419904418, 3, 22, 511, 150, 348, 233, 2, 2
1758419904418, 4, 8, 513, 150, 343, 237, 2, 2
1758419904418, 2, 5, 512, 149, 347, 235, 1, 3
1758419904418, 5, 5, 514, 148, 345, 235, 2, 3
1758419904418, 3, 5, 517, 150, 346, 235, 3, 3
1758419904418, 4, 4, 515, 148, 348, 234, 2, 2
1758419904418, 18, 4, 511, 150, 344, 234, 2, 3
1758419904418, 4, 4, 515, 150, 343, 233, 2, 3
1758419904418, 4, 5, 512, 152, 346, 235, 2, 2
1758419904418, 8, 6, 519, 150, 350, 232, 1, 2
1758419904418, 2, 5, 511, 149, 349, 235, 0, 2
1758419904418, 3, 5, 512, 147, 348, 233, 1, 3
1758419904418, 3, 20, 512, 147, 348, 235, 2, 3
1758419904418, 6, 22, 512, 150, 348, 236, 2, 4
1758419904418, 13, 7, 515, 148, 345, 236, 10, 2
1758419904418, 1, 6, 514, 150, 345, 235, 1, 3
1758419904418, 5, 7, 515, 149, 349, 232, 9, 3
1758419904418, 4, 8, 512, 149, 355, 236, 2, 2
1758419904418, 2, 6, 515, 150, 348, 237, 3, 3
1758419904418, 3, 6, 512, 155, 347, 232, 2, 3
1758419904418, 2, 5, 515, 148, 347, 233, 2, 1
1758419904418, 6, 6, 511, 153, 348, 243, 1, 6
1758419904418, 5, 20, 509, 150, 343, 234, 2, 3
1758419904418, 4, 7, 515, 148, 346, 231, 9, 3
1758419904418, 2, 5, 510, 149, 348, 231, 2, 3
1758419904418, 0, 4, 511, 148, 344, 230, 1, 2
1758419904418, 1, 4, 515, 148, 347, 235, 2, 3
1758419904418, 5, 5, 515, 148, 345, 236, 4, 3
1758419904418, 2, 5, 511, 149, 342, 234, 2, 2
1758419904418, 5, 4, 513, 148, 346, 230, 2, 3
1758419904418, 7, 5, 509, 149, 344, 232, 1, 3
1758419904418, 4, 5, 511, 148, 344, 233, 2, 3
1758419904418, 8, 5, 509, 148, 347, 234, 2, 3
1758419904418, 3, 5, 507, 148, 346, 230, 2, 3
1758419904418, 6, 5, 510, 150, 343, 232, 2, 3
1758419904418, 6, 5, 513, 148, 351, 230, 2, 3
1758419904418, 10, 6, 508, 148, 345, 233, 1, 2
1758419904418, 7, 7, 511, 149, 345, 229, 1, 7
1758419904418, 1, 23, 505, 152, 344, 232, 1, 12
1758419904418, 8, 8, 515, 149, 346, 236, 2, 2
1758419904418, 7, 7, 509, 148, 347, 233, 2, 3
1758419904418, 0, 5, 510, 149, 343, 231, 1, 11
1758419904418, 3, 4, 510, 145, 343, 231, 2, 2
1758419904418, 11, 4, 508, 149, 345, 232, 1, 3
1758419904418, 6, 4, 508, 149, 342, 233, 1, 12
1758419904418, 2, 4, 509, 147, 342, 236, 1, 3
1758419904418, 5, 4, 509, 148, 343, 235, 11, 3
1758419904418, 1, 5, 505, 158, 352, 235, 2, 2
1758419904418, 4, 5, 502, 148, 343, 232, 1, 3
1758419904418, 5, 4, 508, 153, 342, 230, 2, 2
1758419904418, 7, 4, 507, 151, 339, 234, 2, 7
1758419904418, 3, 20, 503, 153, 344, 233, 3, 2
1758419904418, 4, 7, 511, 148, 345, 231, 2, 2
1758419904418, 3, 6, 509, 151, 341, 231, 2, 3
1758419904418, 0, 5, 505, 149, 351, 229, 2, 3
1758419904418, 0, 22, 507, 149, 352, 230, 2, 2
1758419904418, 7, 8, 505, 151, 340, 230, 2, 3
1758419904418, 5, 7, 504, 150, 339, 231, 2, 11
1758419904418, 7, 21, 507, 154, 336, 230, 0, 2
1758419904418, 6, 8, 501, 155, 340, 232, 2, 4
1758419904418, 9, 6, 515, 150, 337, 229, 2, 4
1758419904418, 0, 11, 503, 148, 343, 231, 2, 2
1758419904418, 0, 5, 502, 150, 340, 237, 1, 3
1758419904418, 7, 20, 505, 148, 341, 227, 2, 3
1758419904418, 4, 7, 500, 149, 337, 227, 2, 3
1758419904418, 1, 5, 507, 149, 339, 226, 2, 3
1758419904418, 6, 3, 502, 149, 337, 229, 3, 3
1758419904418, 3, 5, 505, 149, 337, 227, 2, 11
1758419904418, 2, 5, 503, 155, 338, 225, 1, 3
1758419904418, 10, 5, 502, 149, 341, 224, 3, 3
1758419904418, 8, 15, 501, 149, 342, 227, 2, 3
1758419904418, 4, 7, 502, 148, 342, 221, 2, 3
1758419904418, 3, 5, 499, 149, 345, 223, 2, 6
1758419904418, 4, 5, 502, 149, 344, 225, 2, 3
1758419904418, 6, 6, 502, 148, 343, 223, 2, 3
1758419904418, 2, 6, 504, 150, 345, 224, 1, 3
1758419904418, 9, 7, 497, 147, 343, 221, 2, 3
1758419904418, 8, 20, 502, 149, 347, 222, 2, 3
1758419904418, 3, 8, 502, 149, 344, 220, 2, 7
1758419904418, 0, 6, 508, 148, 347, 229, 2, 3
1758419904418, 6, 5, 495, 147, 341, 221, 5, 2
1758419904418, 4, 5, 504, 149, 339, 225, 2, 3
1758419904418, 3, 18, 497, 149, 349, 228, 2, 3
1758419904418, 0, 6, 495, 150, 341, 224, 2, 2
1758419904418, 2, 4, 503, 149, 339, 223, 1, 3
1758419904418, 2, 3, 495, 148, 343, 224, 2, 2
1758419904418, 3, 3, 504, 151, 339, 224, 2, 3
1758419904418, 2, 6, 497, 150, 340, 223, 2, 2
1758419904418, 4, 4, 498, 148, 342, 223, 6, 2
1758419904418, 7, 5, 499, 148, 353, 228, 2, 3
1758419904418, 5, 5, 503, 151, 341, 222, 1, 2
1758419904418, 1, 5, 499, 149, 348, 224, 2, 3
1758419904418, 2, 4, 501, 147, 341, 222, 2, 3
1758419904418, 11, 5, 499, 152, 344, 228, 1, 3
1758419904418, 6, 5, 511, 150, 341, 224, 2, 3
1758419904418, 2, 6, 500, 150, 339, 226, 2, 3
1758419904418, 3, 6, 508, 149, 341, 225, 2, 3
1758419904418, 3, 6, 507, 148, 344, 227, 2, 3
1758419904418, 7, 6, 506, 148, 341, 225, 1, 3
1758419904418, 6, 6, 506, 151, 342, 223, 2, 3
1758419904418, 6, 6, 507, 149, 347, 224, 2, 3
1758419904418, 9, 5, 501, 148, 346, 224, 2, 2
1758419904418, 5, 5, 501, 149, 341, 224, 3, 3
1758419904418, 0, 4, 503, 147, 345, 226, 3, 3
1758419904418, 3, 4, 504, 150, 341, 223, 1, 4
1758419904418, 3, 3, 504, 149, 344, 222, 2, 3
1758419904418, 8, 4, 510, 150, 347, 223, 4, 3
1758419904418, 1, 8, 506, 147, 342, 224, 1, 3
1758419904418, 0, 6, 500, 160, 345, 223, 1, 3
1758419904418, 0, 5, 504, 149, 347, 221, 2, 3
1758419904418, 0, 5, 504, 151, 343, 222, 3, 2
1758419904418, 9, 21, 500, 148, 344, 221, 1, 5
1758419904418, 3, 7, 503, 150, 347, 219, 4, 3
1758419904418, 4, 6, 505, 150, 344, 215, 2, 2
1758419904418, 4, 6, 505, 149, 347, 218, 2, 3
1758419904418, 1, 9, 509, 149, 346, 223, 8, 7
1758419904418, 5, 7, 499, 149, 345, 218, 1, 3
1758419904418, 2, 6, 504, 150, 345, 218, 3, 2
1758419904418, 4, 7, 504, 148, 342, 219, 1, 3
1758419904418, 7, 22, 499, 147, 340, 219, 2, 3
1758419904418, 5, 8, 504, 151, 349, 217, 2, 2
1758419904418, 0, 6, 502, 152, 341, 217, 2, 3
1758419904418, 1, 19, 503, 150, 344, 218, 1, 3
1758419904418, 5, 7, 503, 159, 342, 217, 2, 3
1758419904418, 4, 4, 504, 151, 342, 222, 2, 3
1758419904418, 3, 4, 511, 148, 344, 217, 2, 3
1758419904418, 7, 11, 508, 148, 345, 218, 2, 3
1758419904418, 4, 6, 506, 149, 345, 220, 2, 3
1758419904419, 5, 5, 504, 148, 344, 218, 11, 3
1758419904420, 6, 15, 506, 158, 344, 219, 1, 3
1758419904420, 7, 21, 506, 150, 344, 217, 2, 12
1758419904423, 3, 7, 510, 148, 342, 218, 0, 10
1758419904423, 7, 8, 504, 150, 352, 229, 2, 3
1758419904423, 4, 19, 503, 150, 340, 217, 1, 3
1758419904438, 3, 7, 507, 154, 347, 224, 1, 3
1758419904438, 9, 6, 503, 150, 344, 217, 2, 2
1758419904438, 6, 7, 504, 148, 344, 219, 2, 3
1758419904438, 11, 6, 507, 149, 345, 224, 2, 3
1758419904438, 3, 7, 506, 149, 345, 218, 2, 2
1758419904438, 8, 6, 506, 146, 347, 225, 1, 2
1758419904438, 5, 6, 504, 149, 342, 218, 1, 2
1758419904438, 5, 6, 509, 147, 343, 219, 1, 6
1758419904438, 3, 5, 503, 149, 347, 220, 2, 2
1758419904438, 5, 4, 509, 150, 344, 218, 1, 3
1758419904438, 12, 5, 514, 150, 346, 220, 2, 4
1758419904438, 0, 4, 509, 150, 348, 220, 1, 2
1758419904438, 5, 5, 508, 151, 347, 218, 1, 3
1758419904438, 5, 5, 505, 150, 343, 219, 2, 2
1758419904438, 6, 5, 503, 157, 344, 222, 3, 2
1758419904453, 5, 5, 503, 150, 341, 220, 3, 12
